ID_REGULASI,REGULATOR,JUDUL,TANGGAL_REGULASI_EFEKTIF,LINK_REGULASI,TIMESTAMP,NO_KETENTUAN,TENTANG,NOTIFICATION_STATUS,TANGGAL_TERBIT,LINK_RANCANGAN,DESKRIPSI
71,BI,"Peraturan Anggota Dewan Gubernur Nomor 19 Tahun 2024 tentangPerubahan Keenam atas Peraturan Anggota Dewan Gubernur Nomor 21/25/PADG/2019tentang Rasio Loan to Value untuk Kredit Properti, Rasio Financing to Valueuntuk Pembiayaan Properti, dan Uang Muka untuk Kredit atau Pembiayaan KendaraanBermotor (PADG Perubahan Keenam LTV/FTV dan Uang Muka).",10 Desember 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_192024.aspx,2024-12-10 15:30:10.614406,Peraturan Anggota Dewan Gubernur Nomor 19 Tahun 2024,"Perubahan Keenam atas Peraturan Anggota Dewan Gubernur Nomor 21/25/PADG/2019tentang Rasio Loan to Value untuk Kredit Properti Rasio Financing to Valueuntuk Pembiayaan Properti dan Uang Muka untuk Kredit atau Pembiayaan KendaraanBermotor (PADG Perubahan Keenam LTV/FTV dan Uang Muka).""""",SENT,,,
72,OJK,Peraturan Otoritas Jasa Keuangan Nomor 19 Tahun 2024 tentang Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 42/POJK.03/2015 tentang Kewajiban Pemenuhan Rasio Kecukupan Likuiditas (Liquidity Coverage Ratio) Bagi Bank Umum,11/8/2024,https://www.ojk.go.id/id/regulasi/Pages/POJK-19-Tahun-2024-Perubahan-POJK-Nomor-42POJK032015-tentang-Kewajiban-Pemenuhan-Rasio-Kecukupan-Likuiditas-Bagi-Bank-Umum.aspx,2024-12-13 11:00:02.910610,Peraturan Otoritas Jasa Keuangan Nomor 19 Tahun 2024,Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 42/POJK.03/2015 tentang Kewajiban Pemenuhan Rasio Kecukupan Likuiditas (Liquidity Coverage Ratio) Bagi Bank Umum,NOT SENT,,,
73,OJK,Peraturan Otoritas Jasa Keuangan Nomor 18 Tahun 2024 tentang Penyedia Likuiditas,11/8/2024,https://www.ojk.go.id/id/regulasi/Pages/POJK-18-Tahun-2024-Penyedia-Likuiditas.aspx,2024-12-13 11:00:02.910610,Peraturan Otoritas Jasa Keuangan Nomor 18 Tahun 2024,Penyedia Likuiditas,NOT SENT,,,
74,OJK,Peraturan Otoritas Jasa Keuangan Nomor 20 Tahun 2024 tentang Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 50/POJK.03/2017 tentang Kewajiban Pemenuhan Rasio Pendanaan Stabil Bersih (Net Stable Funding Ratio) Bagi Bank Umum,11/8/2024,https://www.ojk.go.id/id/regulasi/Pages/POJK-20-Tahun-2024-Perubahan-Atas-POJK-50POJK032017-tentang-Kewajiban-Pemenuhan-NSFR-Bagi-Bank-Umum.aspx,2024-12-17 15:00:03.625653,Peraturan Otoritas Jasa Keuangan Nomor 20 Tahun 2024,Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 50/POJK.03/2017 tentang Kewajiban Pemenuhan Rasio Pendanaan Stabil Bersih (Net Stable Funding Ratio) Bagi Bank Umum,SENT,,,
75,BI,PeraturanAnggota Dewan Gubernur Nomor 20 Tahun 2024 tentang Transaksi Pasar UangBerdasarkan Prinsip Syariah,17 Desember 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_202024.aspx,2024-12-17 16:00:12.208439,PeraturanAnggota Dewan Gubernur Nomor 20 Tahun 2024,Transaksi Pasar UangBerdasarkan Prinsip Syariah,SENT,,,
76,OJK,Surat Edaran Otoritas Jasa Keuangan Nomor 18/SEOJK.08/2024 tentang Penilaian Sendiri Terhadap Pemenuhan Ketentuan Pelindungan Konsumen dan Masyarakat di Sektor Jasa Keuangan,12/10/2024,https://www.ojk.go.id/id/regulasi/Pages/SEOJK-18-SEOJK08-2024-Penilaian-Sendiri-Terhadap-Pemenuhan-Ketentuan-Pelindungan-Konsumen-dan-Masyarakat-di-SJK.aspx,2024-12-19 16:30:03.783633,Surat Edaran Otoritas Jasa Keuangan Nomor 18/SEOJK.08/2024,Penilaian Sendiri Terhadap Pemenuhan Ketentuan Pelindungan Konsumen dan Masyarakat di Sektor Jasa Keuangan,SENT,,,
77,BI,Peraturan Anggota Dewan Gubernur Nomor 21 Tahun 2024 tentang Perubahan Kedua atas Peraturan Anggota Dewan Gubernur Nomor 11 Tahun 2023 tentang Peraturan Pelaksanaan Kebijakan Insentif Likuiditas Makroprudensial,12 Desember 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_212024.aspx,2024-12-20 09:30:10.654439,Peraturan Anggota Dewan Gubernur Nomor 21 Tahun 2024,Perubahan Kedua atas Peraturan Anggota Dewan Gubernur Nomor 11 Tahun 2023 tentang Peraturan Pelaksanaan Kebijakan Insentif Likuiditas Makroprudensial,SENT,,,
78,OJK,Peraturan Otoritas Jasa Keuangan Nomor 27 Tahun 2024 tentang Penyelenggaraan Perdagangan Aset Keuangan Digital Termasuk Aset Kripto,1/10/2025,https://www.ojk.go.id/id/regulasi/Pages/POJK-27-2024-AKD-AK.aspx,2024-12-24 13:30:04.636196,Peraturan Otoritas Jasa Keuangan Nomor 27 Tahun 2024,Penyelenggaraan Perdagangan Aset Keuangan Digital Termasuk Aset Kripto,SENT,,,
79,OJK,Peraturan Otoritas Jasa Keuangan Nomor 21 Tahun 2024 tentang Laporan Berkala Dana Pensiun,6/1/2025,https://www.ojk.go.id/id/regulasi/Pages/POJK-21-Tahun-2024-Laporan-Berkala-Dana-Pensiun.aspx,2024-12-24 15:00:04.206914,Peraturan Otoritas Jasa Keuangan Nomor 21 Tahun 2024,Laporan Berkala Dana Pensiun,SENT,,,
80,OJK,Peraturan Otoritas Jasa Keuangan Nomor 23 Tahun 2024 tentang Pelaporan Melalui Sistem Pelaporan Otoritas Jasa Keuangan dan Transparansi Kondisi Keuangan Bagi Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,1/1/2025,https://www.ojk.go.id/id/regulasi/Pages/POJK-23-Tahun-2024-Pelaporan-Melalui-Sistem-Pelaporan-OJK-dan-Transparansi-Kondisi-Keuangan-Bagi-BPR-dan-BPRS.aspx,2024-12-24 15:00:04.206914,Peraturan Otoritas Jasa Keuangan Nomor 23 Tahun 2024,Pelaporan Melalui Sistem Pelaporan Otoritas Jasa Keuangan dan Transparansi Kondisi Keuangan Bagi Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,SENT,,,
81,OJK,Peraturan Otoritas Jasa Keuangan Nomor 22 Tahun 2024 tentang Laporan Berkala Perusahaan Perasuransian,1/1/2025,https://www.ojk.go.id/id/regulasi/Pages/POJK-22-Tahun-2024-Laporan-Berkala-Perusahaan-Perasuransian.aspx,2024-12-24 15:00:04.206914,Peraturan Otoritas Jasa Keuangan Nomor 22 Tahun 2024,Laporan Berkala Perusahaan Perasuransian,SENT,,,
82,OJK,Peraturan Otoritas Jasa Keuangan Nomor 25 Tahun 2024 tentang Penerapan Tata Kelola Syariah Bagi Bank Perekonomian Rakyat Syariah,11/29/2024,https://www.ojk.go.id/id/regulasi/Pages/POJK-25-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Perekonomian-Rakyat-Syariah.aspx,2024-12-24 15:00:04.206914,Peraturan Otoritas Jasa Keuangan Nomor 25 Tahun 2024,Penerapan Tata Kelola Syariah Bagi Bank Perekonomian Rakyat Syariah,SENT,,,
83,OJK,Peraturan Otoritas Jasa Keuangan Nomor 24 Tahun 2024 tentang Kualitas Aset Bank Perekonomian Rakyat Syariah,11/29/2024,https://www.ojk.go.id/id/regulasi/Pages/POJK-24-Tahun-2024-Kualitas-Aset-Bank-Perekonomian-Rakyat-Syariah.aspx,2024-12-24 15:00:04.206914,Peraturan Otoritas Jasa Keuangan Nomor 24 Tahun 2024,Kualitas Aset Bank Perekonomian Rakyat Syariah,SENT,,,
84,OJK,Peraturan Otoritas Jasa Keuangan Nomor 26 Tahun 2024 tentang Perluasan Kegiatan Usaha Perbankan,12/13/2024,https://www.ojk.go.id/id/regulasi/Pages/POJK-26-Tahun-2024-Perluasan-Kegiatan-Usaha-Perbankan.aspx,2024-12-24 15:30:04.567157,Peraturan Otoritas Jasa Keuangan Nomor 26 Tahun 2024,Perluasan Kegiatan Usaha Perbankan,SENT,,,
85,BI,Peraturan Anggota Dewan Gubernur Nomor 22 Tahun 2024 tentang Laporan Pelaksanaan Standardisasi Kompetensi di Bidang Sistem Pembayaran,20 Desember 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_222024.aspx,2024-12-27 12:08:33.893078,Peraturan Anggota Dewan Gubernur Nomor 22 Tahun 2024,Laporan Pelaksanaan Standardisasi Kompetensi di Bidang Sistem Pembayaran,NOT SENT,,,
86,OJK,Surat Edaran Otoritas Jasa Keuangan Nomor 16/SEOJK.03/2024 tentang Pelaporan Melalui Sistem Pelaporan Otoritas Jasa Keuangan dan Transparansi Kondisi Keuangan bagi Bank Perekonomian Rakyat,12/1/2024,https://www.ojk.go.id/id/regulasi/Pages/SEOJK-16-SEOJK.03-2024-Pelaporan-Melalui-Sistem-Pelaporan-Otoritas-Jasa-Keuangan-dan-Transparansi-Kondisi-Keuangan-bagi.aspx,2024-12-30 18:03:46.059792,Surat Edaran Otoritas Jasa Keuangan Nomor 16/SEOJK.03/2024,Pelaporan Melalui Sistem Pelaporan Otoritas Jasa Keuangan dan Transparansi Kondisi Keuangan bagi Bank Perekonomian Rakyat,SENT,,,
87,BI,Peraturan Anggota Dewan Gubernur Nomor 23 Tahun 2024 tentang Dealer Utama Pasar Uang dan Pasar Valuta Asing,30 Desember 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_232024.aspx,2024-12-31 10:00:11.425284,Peraturan Anggota Dewan Gubernur Nomor 23 Tahun 2024,Dealer Utama Pasar Uang dan Pasar Valuta Asing,SENT,,,
88,OJK,Surat Edaran Otoritas Jasa Keuangan Nomor 20/SEOJK.07/2024 tentang Penyelenggaraan Perdagangan Aset Keuangan Digital Termasuk Aset Kripto,1/10/2025,https://www.ojk.go.id/id/regulasi/Pages/SEOJK-20-SEOJK07-2024-Penyelenggaraan-Perdagangan-Aset-Keuangan-Digital-Termasuk-Aset-Kripto.aspx,2025-01-03 11:00:01.886950,Surat Edaran Otoritas Jasa Keuangan Nomor 20/SEOJK.07/2024,Penyelenggaraan Perdagangan Aset Keuangan Digital Termasuk Aset Kripto,SENT,,,
89,OJK,Peraturan Otoritas Jasa Keuangan Nomor 28 Tahun 2024 tentang Pengelolaan Informasi Rekam Jejak Pelaku Melalui Sistem Informasi Pelaku,12/17/2024,https://www.ojk.go.id/id/regulasi/Pages/28-Tahun-2024-Pengelolaan-Informasi-Rekam-Jejak-Pelaku-Melalui-Sistem-Informasi-Pelaku.aspx,2025-01-06 15:00:02.861957,Peraturan Otoritas Jasa Keuangan Nomor 28 Tahun 2024,Pengelolaan Informasi Rekam Jejak Pelaku Melalui Sistem Informasi Pelaku,SENT,,,
90,OJK,Surat Edaran Otoritas Jasa Keuangan Nomor 19/SEOJK.06/2024 tentang Penilaian Tingkat Kesehatan Perusahaan Modal Ventura dan Perusahaan Modal Ventura Syariah,12/22/2024,https://www.ojk.go.id/id/regulasi/Pages/SEOJK-19-SEOJK06-2024-Penilaian-Tingkat-Kesehatan-Perusahaan-Modal-Ventura-dan-Perusahaan-Modal-Ventura-Syariah.aspx,2025-01-08 16:46:35.409467,Surat Edaran Otoritas Jasa Keuangan Nomor 19/SEOJK.06/2024,Penilaian Tingkat Kesehatan Perusahaan Modal Ventura dan Perusahaan Modal Ventura Syariah,SENT,,,
91,OJK,Surat Edaran Otoritas Jasa Keuangan Nomor 17/SEOJK.03/2024 tentang Pelaporan Melalui Sistem Pelaporan OJK dan Transparansi Kondisi Keuangan bagi Bank Perekonomian Rakyat Syariah,12/1/2024,https://www.ojk.go.id/id/regulasi/Pages/SEOJK-17-SEOJK03-2024-Pelaporan-Melalui-Sistem-Pelaporan-OJK-dan-Transparansi-Kondisi-Keuangan-bagi-BPRS.aspx,2025-01-09 17:00:03.644414,Surat Edaran Otoritas Jasa Keuangan Nomor 17/SEOJK.03/2024,Pelaporan Melalui Sistem Pelaporan OJK dan Transparansi Kondisi Keuangan bagi Bank Perekonomian Rakyat Syariah,SENT,,,
92,BI,"Peraturan Anggota Dewan Gubernur Nomor 24 Tahun2024 tentang KeamananSistem Informasi dan Ketahanan Siber bagi Penyelenggara Sistem Pembayaran,Pelaku Pasar Uang dan Pasar Valuta Asing, serta Pihak Lain yang Diatur danDiawasi Bank Indonesia",6 Januari 2025,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_242024.aspx,2025-01-06 13:04:14.361320,Peraturan Anggota Dewan Gubernur Nomor 24 Tahun2024,"KeamananSistem Informasi dan Ketahanan Siber bagi Penyelenggara Sistem Pembayaran,Pelaku Pasar Uang dan Pasar Valuta Asing, serta Pihak Lain yang Diatur danDiawasi Bank Indonesia",NOT SENT,,,
93,BI,PeraturanBank Indonesia Nomor 9 Tahun 2024 tentangPengelolaan Lalu Lintas Devisa,6 Januari 2025,https://www.bi.go.id/id/publikasi/peraturan/Pages/PBI_092024.aspx,2025-01-06 13:04:14.361320,PeraturanBank Indonesia Nomor 9 Tahun 2024,Pengelolaan Lalu Lintas Devisa,NOT SENT,,,
