ID_REGULASI,REGULATOR,JUDUL,TANGGAL_REGULASI_EFEKTIF,LINK_REGULASI,TIMESTAMP,NO_KETENTUAN,TENTANG,NOTIFICATION_STATUS,TANGGAL_TERBIT,LINK_RANCANGAN,DESKRIPSI
25,LPS,PLPS Nomor 3 Tahun 2020 Tentang Peraturan Pelaksanaan Peraturan Pemerintah Nomor 33 Tahun 2020 Tentang Pelaksanaan Kewenangan Lembaga Penjamin Simpanan Dalam Rangka Melaksanakan Langkah-Langkah Penanganan Permasalahan Stabilitas Sistem Keuangan,20 Jul 2020,https://lps.go.id/plps-3-2020/,2024-09-17 17:50:40.706074,PLPS Nomor 3 Tahun 2020,Peraturan Pelaksanaan Peraturan Pemerintah Nomor 33 Tahun 2020 Tentang Pelaksanaan Kewenangan Lembaga Penjamin Simpanan Dalam Rangka Melaksanakan Langkah-Langkah Penanganan Permasalahan Stabilitas Sistem Keuangan,,,,
26,BI,Peraturan Anggota Dewan Gubernur Nomor 9 Tahun 2024 tentang Penyelenggaraan CentralCounterparty,18 September 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_092024.aspx,2024-09-20 09:30:17.512137,Peraturan Anggota Dewan Gubernur Nomor 9 Tahun 2024,Penyelenggaraan CentralCounterparty,SENT,,,
27,OJK,Surat Edaran Otoritas Jasa Keuangan ​Nomor 8/SEOJK.07/2024 tentang Asosiasi Penyelenggara Inovasi Teknologi Sektor Keuangan,9/11/2024,ojk.go.id/id/regulasi/Pages/Asosiasi-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan.aspx,2024-09-23 15:59:14.892024,Surat Edaran Otoritas Jasa Keuangan ​Nomor 8/SEOJK.07/2024,Asosiasi Penyelenggara Inovasi Teknologi Sektor Keuangan,NOT SENT,,,
28,BI,Peraturan Anggota Dewan Gubernur No. 11 Tahun2024 tentang Transaksi Pasar Valuta Asing,27 September 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_112024.aspx,2024-09-30 12:10:06.478264,Peraturan Anggota Dewan Gubernur No. 11 Tahun2024,Transaksi Pasar Valuta Asing,SENT,,,
29,BI,Peraturan Anggota Dewan Gubernur No 10 Tahun 2024 tentang PenyelesaianTransaksi Bilateral Antara Indonesia Dan Korea Selatan Menggunakan Rupiah DanWon,25 September 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_102024.aspx,2024-09-30 12:10:06.478264,Peraturan Anggota Dewan Gubernur No 10 Tahun 2024,PenyelesaianTransaksi Bilateral Antara Indonesia Dan Korea Selatan Menggunakan Rupiah DanWon,SENT,,,
30,BI,Peraturan Anggota Dewan Gubernur Nomor 13 Tahun 2024 tentang Transaksi Pasar Uang,30 September 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_132024.aspx,2024-10-08 09:30:18.308187,Peraturan Anggota Dewan Gubernur Nomor 13 Tahun 2024,Transaksi Pasar Uang,SENT,,,
31,BI,Peraturan Anggota Dewan Gubernur Nomor 12 Tahun 2024 tentang Perizinan Terpadu Bank Indonesia Melalui Front Office Perizinan ,30 September 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_122024.aspx,2024-10-08 09:30:18.308187,Peraturan Anggota Dewan Gubernur Nomor 12 Tahun 2024,Perizinan Terpadu Bank Indonesia Melalui Front Office Perizinan,SENT,,,
32,BI,Peraturan Anggota Dewan Gubernur Nomor 11 Tahun2024 tentang Transaksi Pasar Valuta Asing,27 September 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_112024.aspx,2024-10-08 10:00:31.686521,Peraturan Anggota Dewan Gubernur Nomor 11 Tahun2024,Transaksi Pasar Valuta Asing,SENT,,,
33,BI,Peraturan Anggota Dewan Gubernur Nomor 10 Tahun 2024 tentang Penyelesaian Transaksi Bilateral Antara Indonesia Dan Korea Selatan Menggunakan Rupiah Dan Won,25 September 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_102024.aspx,2024-10-08 10:00:31.686521,Peraturan Anggota Dewan Gubernur Nomor 10 Tahun 2024,Penyelesaian Transaksi Bilateral Antara Indonesia Dan Korea Selatan Menggunakan Rupiah Dan Won,SENT,,,
34,BI,"Peraturan Bank Indonesia Nomor 8 Tahun 2024 tentang Organisasi, Tata Kerja, dan Anggaran Badan Supervisi Bank Indonesia",20 September 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PBI_082024.aspx,2024-10-09 10:00:30.990790,Peraturan Bank Indonesia Nomor 8 Tahun 2024,"Organisasi, Tata Kerja, dan Anggaran Badan Supervisi Bank Indonesia",SENT,,,
